#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), S11re (), S11im (), S11dB (dB), S11Ph (rad), S22re (), S22im (), S22dB (dB), S22Ph (rad), Power (dBm)
5.1982540000e+09, 4.3746670000e-03, -1.3676640000e-03, -4.6776108223e+01, -1.8978249685e+03, 1.4527190000e-02, -3.7441610000e-02, -2.7923889476e+01, -1.2006809784e+00, 3.9940640000e-02, -2.5968420000e-03, -2.7953379459e+01, -1.0996223549e+03, 0.0000000000e+00
5.2009520000e+09, 1.2008210000e-03, -4.4085650000e-03, -4.6803232460e+01, -1.8988268269e+03, 1.4030110000e-02, -3.7488050000e-02, -2.7952838474e+01, -1.2126785027e+00, 4.7043260000e-02, -3.9299980000e-02, -2.4250944528e+01, -1.1002533860e+03, 0.0000000000e+00
5.2036500000e+09, -3.0086090000e-03, -3.4099640000e-03, -4.6844582314e+01, -1.8998157083e+03, 1.3871470000e-02, -3.7158130000e-02, -2.8032314376e+01, -1.2135088672e+00, 2.3653770000e-02, -7.0642850000e-02, -2.2557138176e+01, -1.1008051227e+03, 0.0000000000e+00
5.2063480000e+09, -4.4775210000e-03, 6.0678070000e-04, -4.6900213208e+01, -1.9007982520e+03, 1.4170310000e-02, -3.6733880000e-02, -2.8096190962e+01, -1.2026293533e+00, -1.5762560000e-02, -7.4371930000e-02, -2.2380990414e+01, -1.1013370768e+03, 0.0000000000e+00
5.2090460000e+09, -2.0841160000e-03, 3.9394810000e-03, -4.7019540631e+01, -1.9017477483e+03, 1.4478130000e-02, -3.6577490000e-02, -2.8103611973e+01, -1.1938979241e+00, -4.4996700000e-02, -4.7390790000e-02, -2.3695121225e+01, -1.1018877155e+03, 0.0000000000e+00
5.2117440000e+09, 2.2883350000e-03, 3.9517920000e-03, -4.6808286018e+01, -1.9027592338e+03, 1.4949190000e-02, -3.6831230000e-02, -2.8013380245e+01, -1.1852282453e+00, -4.4304850000e-02, -8.1262310000e-03, -2.6927275072e+01, -1.1025176214e+03, 0.0000000000e+00
5.2144420000e+09, 4.4371240000e-03, 3.2632870000e-04, -4.7034541516e+01, -1.9037317352e+03, 1.4895470000e-02, -3.7250050000e-02, -2.7933248715e+01, -1.1903952537e+00, -1.5254370000e-02, 1.6981720000e-02, -3.2831000810e+01, -1.1035379527e+03, 0.0000000000e+00
5.2171400000e+09, 2.8138960000e-03, -3.6826790000e-03, -4.6679629871e+01, -1.9047234869e+03, 1.4830580000e-02, -3.7672510000e-02, -2.7853775628e+01, -1.1957577409e+00, 2.1938400000e-02, 1.2147490000e-02, -3.2014495453e+01, -1.1053349277e+03, 0.0000000000e+00
5.2198380000e+09, -1.5117030000e-03, -4.2611460000e-03, -4.6894636313e+01, -1.9057168574e+03, 1.4463160000e-02, -3.7781310000e-02, -2.7860546980e+01, -1.2051939428e+00, 4.2039000000e-02, -1.7886870000e-02, -2.6804322636e+01, -1.1062428935e+03, 0.0000000000e+00
5.2225360000e+09, -4.3452280000e-03, -1.0696720000e-03, -4.6984230389e+01, -1.9067053684e+03, 1.4136780000e-02, -3.7692680000e-02, -2.7903277365e+01, -1.2119785569e+00, 3.3381110000e-02, -5.1306490000e-02, -2.4263563629e+01, -1.1068345983e+03, 0.0000000000e+00
